STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Whole Foods Madison Broadway,EVgo,1001 Broadway,Seattle,WA,98122,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Walmart,Electrify America,34520 16TH Avenue South,Federal Way,WA,98003,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
"QFC 828 (Kirkland, WA)",Electrify America,11224 Northeast 124th Street,Kirkland,WA,98034,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Ballard Blocks,EVgo,1451 Northwest 46th Street,Seattle,WA,98107,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Whole Foods Seattle,EVgo,2210 Westlake Avenue,Seattle,WA,98121,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Bank of America,Electrify America,1112 South BAILEY Street,Seattle,WA,98108,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Nissan - Everett,ChargePoint,10500 Highway 99,Everett,WA,98204,"62 A, 62 kW",Cost: Parking 1 USD per hour Flat Fee 8 USD
"The Outlet Collection ( Auburn, WA)",Electrify America,1101 Outlet Collection Way,Auburn,WA,98001,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Whole Foods Bellevue,EVgo,888 116th Avenue Northeast,Bellevue,WA,98004,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
100 West Mercer Street,Electrify America,100 West MERCER Street,Seattle,WA,98119,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Pierce Tran Car Bus,ChargePoint,3701 96th Street Southwest,Lakewood,WA,98499,"? A, ? kW",Cost: Unknown
700 5th Ave Seattle- DC Fast Charger,OpConnect,700 5th Avenue,Seattle,WA,98104,"? A, ? kW",Cost: Unknown
"Kroger Fred Meyer 655 (Port Orchard, WA)",Electrify America,1900 Southeast Sedgwick Road,Port Orchard,WA,98366,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Plaza by the Green,Shell Recharge,24437 Russell Road,Kent,WA,98032,"100 A, 40 kW",Cost: Unknown
"QFC 807 (Seattle, WA)",Electrify America,2746 Northeast 45th Street,Seattle,WA,98105,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Snoqualmie Pass Chevron,Webasto,519 SR 906,Snoqualmie Pass,WA,98068,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Fred Meyer,Electrify America,915 Northwest 45th Street,Seattle,WA,98107,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
King Plaza,EVgo,7101 Martin Luther King Jr Way South,Seattle,WA,98118,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
"BofA Overlake Park WA3-152 (Redmond, WA)",Electrify America,2400 148th Avenue Northeast,Redmond,WA,98502,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart,Electrify America,21200 Olhava Way Northwest,Poulsbo,WA,98370,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Fred Meyer,Electrify America,13000 Lake City Way Northeast,Seattle,WA,98125,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Interbay Business Center,EVgo,1600 West Armory Way,Seattle,WA,98119,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Safeway Tacoma,EVgo,1112 South M Street,Tacoma,WA,98405,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Korum Hyundai,ChargePoint,111 River Road,Puyallup,WA,98371,"62 A, 62 kW",Cost: 0.30$ / kWh Time not charging: $30/hr after 20 mins
Northgate QFC,EVgo,11100 Roosevelt Way Northeast,Seattle,WA,98125,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Carkeek Plaza,EVgo,9999 Holman Road Northwest,Seattle,WA,98117,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
1111 Washington Street Southeast,Shell Recharge,1111 Washington Street Southeast,Olympia,WA,98501,"125 A, 50 kW","Cost: 0.39$ / kWh $0.39/kWh: 17:00-17:00, Maximum power of 50 KW"
The Hub at Lacey,Shell Recharge,676 Woodland Square Loop Southeast,Lacey,WA,98509,"100 A, 40 kW","Cost: 0.42$ / kWh $0.42/kWh: 17:00-17:00, Maximum power of 50 KW"
Fast Fuel Station 1,ChargePoint,501 Lilly Road Southeast,Olympia,WA,98501,"62 A, 62 kW",Cost: Energy 0.42 USD per kWh Parking 0.1 USD per minute
Olympia Nissan,None,2220 Carriage Drive Southwest,Olympia,WA,98502,"? A, ? kW",Cost: 0.00$ / Free
Cafaro Target Place Plaza,Electrify America,2925 Harrison Avenue Northwest,Olympia,WA,98502,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Dan Wilder Nissan,None,53 Jetta Way,Port Angeles,WA,98362,"? A, ? kW",Cost: 0.00$ / Free
Gateway Transit Center,Shell Recharge,123 Front Street,Port Angeles,WA,98362,"125 A, 50 kW","Cost: 18.00$ / Hour $18/hr: 17:00-17:00, Maximum power of 50 KW"
Walmart ),Electrify America,3411 East KOLONELS WAY,Port Angeles,WA,98362,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Burlington - The Outlet Shoppes,Webasto,448 Fashion Way,Burlington,WA,98233,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Walmart - Mount Vernon,Electrify America,2301 Freeway Drive,Mount Vernon,WA,98273,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Bellingham - Sehome Village,Webasto,222 36th Street,Bellingham,WA,98325,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Bellingham Nissan,None,1516 Iowa Street,Bellingham,WA,98229,"? A, ? kW",Cost: 0.00$ / Free
Whole Foods Bellingham,EVgo,1030 Lakeway Drive,Bellingham,WA,98229,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Fred Meyer,Electrify America,1225 West Bakerview Road,Bellingham,WA,98226,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Community Food Co-op,Shell Recharge,315 Weterly Road,Bellingham,WA,98226,"100 A, 40 kW","Cost: 0.42$ / kWh $0.42/kWh: 16:00-16:00, Maximum power of 50 KW"
Haggen's Bellingham,EVgo,210 36th Street,Bellingham,WA,98225,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Eluminocity,ChargePoint,18613 International Boulevard,SeaTac,WA,98188,"100 A, 50 kW",Cost: Energy 0.35 USD per kWh Parking 0 USD per minute for first 90 mins Parking 0.1 USD per minute after 90 mins
